iata,skyId,image
LAS,LAS,https://content.skyscnr.com/12b715db2fe88a58ee57ae99b985b32a/GettyImages-153734070.jpg
SEA,RZV,https://content.skyscnr.com/12b715db2fe88a58ee57ae99b985b32a/GettyImages-153734070.jpg
SFO,RZV,https://content.skyscnr.com/12b715db2fe88a58ee57ae99b985b32a/GettyImages-153734070.jpg
BOS,BOS,https://content.skyscnr.com/12b715db2fe88a58ee57ae99b985b32a/GettyImages-153734070.jpg
DCA,DCA,https://content.skyscnr.com/12b715db2fe88a58ee57ae99b985b32a/GettyImages-153734070.jpg
IAD,IAD,https://content.skyscnr.com/12b715db2fe88a58ee57ae99b985b32a/GettyImages-153734070.jpg
PHL,PHL,https://content.skyscnr.com/12b715db2fe88a58ee57ae99b985b32a/GettyImages-153734070.jpg
PHX,PHX,https://content.skyscnr.com/69907554dc47aab9e74edf172e01fb44/GettyImages-516984709.jpg
DEN,DEN,https://content.skyscnr.com/69907554dc47aab9e74edf172e01fb44/GettyImages-516984709.jpg
DTW,DTW,https://content.skyscnr.com/e2ef29b11c3586421a32b14b9951b01c/gettyimages-673156625.jpg
MSP,MSP,https://content.skyscnr.com/d8b51b5ac10c64a8e76d2dfa2eff063b/GettyImages-123180405.jpg
SAN,RZV,https://content.skyscnr.com/dd114ccd4424789005cbd0f6cd8881e1/GettyImages-131906563.jpg
TPA,RZV,https://content.skyscnr.com/dd114ccd4424789005cbd0f6cd8881e1/GettyImages-131906563.jpg
FLL,FLL,https://content.skyscnr.com/dd114ccd4424789005cbd0f6cd8881e1/GettyImages-131906563.jpg
BWI,BWI,https://content.skyscnr.com/ec6e1a573dde92117986911e9c097f0b/GettyImages-462416635.jpg
PDX,PDX,https://content.skyscnr.com/ec6e1a573dde92117986911e9c097f0b/GettyImages-462416635.jpg
CLT,CLT,https://content.skyscnr.com/ec6e1a573dde92117986911e9c097f0b/GettyImages-462416635.jpg
SLC,RZV,https://content.skyscnr.com/e0a42512a8f7baba699430c43d90e339/GettyImages-465582049.jpg
BNA,BNA,https://content.skyscnr.com/ec6e1a573dde92117986911e9c097f0b/GettyImages-462416635.jpg
AUS,AUS,https://content.skyscnr.com/ec6e1a573dde92117986911e9c097f0b/GettyImages-462416635.jpg
MSY,MSY,https://content.skyscnr.com/4256a18a3673a5f3926fc37bb2b80beb/GettyImages-517678055.jpg
RDU,RDU,https://content.skyscnr.com/e0a42512a8f7baba699430c43d90e339/GettyImages-465582049.jpg
STL,RZV,https://content.skyscnr.com/1774d53524a0a485c5c990678a472cf6/GettyImages-503612842.jpg
MCI,MCI,https://content.skyscnr.com/0012f421f0682d22815185912d6e105c/GettyImages-481711830.jpg
CLE,CLE,https://content.skyscnr.com/ec26cc7ac3371abc1b8ea45df0b88791/GettyImages-480882769.jpg
PIT,PIS,https://content.skyscnr.com/ec26cc7ac3371abc1b8ea45df0b88791/GettyImages-480882769.jpg
CVG,CVG,https://content.skyscnr.com/ec26cc7ac3371abc1b8ea45df0b88791/GettyImages-480882769.jpg
IND,IND,https://content.skyscnr.com/6ee766b3cf0f075d4f8bc2cab3471747/GettyImages-475444191.jpg
CMH,CMH,https://content.skyscnr.com/m/4bead20c4361686/original/GettyImages-148613833-Saudi-Arabia.jpeg
SAT,RZV,https://content.skyscnr.com/m/4bead20c4361686/original/GettyImages-148613833-Saudi-Arabia.jpeg
SMF,RZV,https://content.skyscnr.com/m/4bead20c4361686/original/GettyImages-148613833-Saudi-Arabia.jpeg
SJC,RZV,https://content.skyscnr.com/aa63694be729955d3709259f1cd989ea/GettyImages-484018307.jpg
OAK,OAK,https://content.skyscnr.com/aa63694be729955d3709259f1cd989ea/GettyImages-484018307.jpg
YYZ,RZV,https://content.skyscnr.com/db465e93dcaad614e9bfcaddb5865e36/GettyImages-505777764.jpg
YVR,RZV,https://content.skyscnr.com/0e13dd0394a185394d5f95a264f7a91e/GettyImages-488017022.jpg
YUL,RZV,https://content.skyscnr.com/0e13dd0394a185394d5f95a264f7a91e/GettyImages-488017022.jpg
YYC,RZV,https://content.skyscnr.com/afeafa38f5fb83923c9c58f78bdc195c/GettyImages-185526100.jpg
YEG,RZV,https://content.skyscnr.com/5e4a1d8925d4eb1e09b6e67944054d51/GettyImages-480145073.jpg
YOW,RZV,https://content.skyscnr.com/a6f52c4479a7e3a1d6fe71b924a2b039/GettyImages-454231583.jpg
YWG,RZV,https://content.skyscnr.com/7815bd951e38c30da006f80f2000aa2b/GettyImages-533574555.jpg
YHZ,RZV,https://content.skyscnr.com/0c1b0ffcf42566b18ce3934ccf32c415/GettyImages-136909106.jpg
YQB,RZV,https://content.skyscnr.com/m/4bead20c4361686/original/GettyImages-148613833-Saudi-Arabia.jpeg
MEX,MEX,https://content.skyscnr.com/34f61dd7f8deb4059c12b0b8de9ee002/GettyImages-472229890.jpg
CUN,CUN,https://content.skyscnr.com/1017dd4cef7a773021e1b335b3410d30/GettyImages-487828389.jpg
GDL,GDL,https://content.skyscnr.com/0c1b0ffcf42566b18ce3934ccf32c415/GettyImages-136909106.jpg
MTY,MTY,https://content.skyscnr.com/e0241c97c2b33b71e9c278bc89bb17ed/GettyImages-178640523.jpg
